epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8606,0.28812,1.43624,0.98577,0.60287,0.59457,0.47526,0.46171,0.13226,1.40973,0.06557,0.000413486,0.000413486,0.000413486
2,34.2237,0.17519,0.98905,0.91292,0.49489,0.63139,0.5123,0.50974,0.23749,1.84053,0.10792,0.000813716,0.000813716,0.000813716
3,50.0172,0.16289,0.93283,0.90346,0.40928,0.66677,0.46179,0.39381,0.24663,1.30495,0.12109,0.00119745,0.00119745,0.00119745
4,65.7504,0.16062,0.93591,0.9088,0.37662,0.56643,0.51804,0.49514,0.23947,1.41051,0.10612,0.00117575,0.00117575,0.00117575
5,81.4826,0.14769,0.90532,0.9036,0.5048,0.73141,0.5721,0.56191,0.20433,1.02052,0.09938,0.001151,0.001151,0.001151
6,97.4368,0.1277,0.88678,0.89999,0.48496,0.73064,0.58965,0.57737,0.2709,1.16126,0.11482,0.00112625,0.00112625,0.00112625
7,113.547,0.12314,0.87747,0.90234,0.51579,0.75048,0.62721,0.61552,0.25369,0.89722,0.11761,0.0011015,0.0011015,0.0011015
8,129.422,0.12011,0.85137,0.8989,0.48999,0.80617,0.60196,0.57457,0.23822,1.12817,0.10774,0.00107675,0.00107675,0.00107675
9,145.246,0.11437,0.84602,0.89537,0.46482,0.6912,0.60015,0.57947,0.23081,1.13273,0.09876,0.001052,0.001052,0.001052
10,161.125,0.10648,0.82588,0.89298,0.47574,0.74025,0.61911,0.60649,0.16901,0.91051,0.08348,0.00102725,0.00102725,0.00102725
11,177.019,0.1011,0.81352,0.89414,0.5377,0.80723,0.66976,0.65972,0.18923,0.88566,0.08685,0.0010025,0.0010025,0.0010025
12,192.912,0.09972,0.81837,0.89323,0.42507,0.79931,0.66141,0.64415,0.19845,1.04427,0.08801,0.00097775,0.00097775,0.00097775
13,208.797,0.09426,0.80146,0.89295,0.41401,0.81571,0.61167,0.5971,0.18527,1.1121,0.08331,0.000953,0.000953,0.000953
14,224.541,0.09138,0.7981,0.89162,0.51942,0.62883,0.64526,0.62777,0.18381,1.19928,0.08107,0.00092825,0.00092825,0.00092825
15,240.356,0.08968,0.78853,0.89276,0.52099,0.74511,0.65718,0.62423,0.25529,1.41148,0.1087,0.0009035,0.0009035,0.0009035
16,256.073,0.09116,0.79308,0.89266,0.48191,0.66908,0.6007,0.57696,0.26919,1.25787,0.11619,0.00087875,0.00087875,0.00087875
17,271.729,0.08534,0.77651,0.89071,0.6556,0.76274,0.75242,0.74518,0.20072,0.78509,0.089,0.000854,0.000854,0.000854
18,287.45,0.08666,0.76706,0.89196,0.53638,0.79099,0.72031,0.7034,0.2419,0.86074,0.10898,0.00082925,0.00082925,0.00082925
19,303.18,0.08468,0.76722,0.89104,0.54999,0.82585,0.76547,0.74837,0.18736,0.86312,0.08338,0.0008045,0.0008045,0.0008045
20,318.942,0.07844,0.75477,0.88883,0.6296,0.80201,0.77479,0.75212,0.22095,1.06375,0.0946,0.00077975,0.00077975,0.00077975
21,334.716,0.07806,0.73507,0.88579,0.63902,0.68598,0.69543,0.6611,0.23172,0.99569,0.09847,0.000755,0.000755,0.000755
22,350.449,0.07489,0.74869,0.88714,0.6021,0.75863,0.74238,0.71017,0.22618,0.9476,0.09671,0.00073025,0.00073025,0.00073025
23,366.207,0.07329,0.73862,0.88933,0.67951,0.7735,0.76581,0.70584,0.21664,1.04277,0.09115,0.0007055,0.0007055,0.0007055
24,381.861,0.06975,0.72161,0.88886,0.73579,0.65831,0.74867,0.73119,0.22684,1.00149,0.10058,0.00068075,0.00068075,0.00068075
25,397.582,0.07104,0.7222,0.89061,0.7119,0.67426,0.73963,0.70582,0.24538,1.11922,0.10416,0.000656,0.000656,0.000656
26,413.241,0.06719,0.71812,0.88924,0.63978,0.75845,0.77986,0.76153,0.25127,0.88066,0.10857,0.00063125,0.00063125,0.00063125
27,429.03,0.06957,0.71505,0.88524,0.59774,0.77181,0.73858,0.72415,0.1965,0.84014,0.08579,0.0006065,0.0006065,0.0006065
