epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.54,0.2702,1.32824,0.97251,0.31335,0.76857,0.41603,0.36112,0.3906,1.28205,0.24732,0.00041507,0.00041507,0.00041507
2,42.1409,0.18719,0.99273,0.91658,0.29034,0.71839,0.3453,0.3263,0.53302,3.55222,0.28049,0.000823503,0.000823503,0.000823503
3,61.5095,0.17071,0.95588,0.90875,0.64839,0.62281,0.56692,0.53326,0.34664,1.27211,0.16225,0.00122369,0.00122369,0.00122369
4,80.6337,0.15611,0.92587,0.90715,0.50299,0.84015,0.55818,0.5267,0.44385,1.36138,0.19268,0.00121287,0.00121287,0.00121287
5,100.454,0.143,0.90756,0.90548,0.48799,0.70898,0.57281,0.52284,0.39359,1.43306,0.17201,0.0012005,0.0012005,0.0012005
6,120.23,0.12761,0.88635,0.90252,0.41594,0.75744,0.5452,0.50034,0.52243,1.44696,0.23361,0.00118812,0.00118812,0.00118812
7,139.395,0.12745,0.87751,0.90416,0.51758,0.69414,0.52695,0.51557,0.34565,1.85418,0.15374,0.00117575,0.00117575,0.00117575
8,158.734,0.12075,0.86733,0.90186,0.54167,0.74562,0.63111,0.6118,0.40081,1.13544,0.18409,0.00116337,0.00116337,0.00116337
9,177.964,0.11443,0.85648,0.89846,0.5162,0.78537,0.61143,0.58905,0.42701,1.11384,0.18857,0.001151,0.001151,0.001151
10,196.814,0.10698,0.85871,0.89554,0.70805,0.59159,0.63433,0.59757,0.49156,1.31374,0.212,0.00113863,0.00113863,0.00113863
11,215.345,0.10562,0.83552,0.89587,0.52217,0.79828,0.62472,0.59851,0.41277,1.32544,0.1922,0.00112625,0.00112625,0.00112625
12,234.452,0.09681,0.83529,0.8941,0.47319,0.77676,0.64984,0.62655,0.4886,1.1205,0.21531,0.00111388,0.00111388,0.00111388
13,253.595,0.09501,0.82888,0.89415,0.59271,0.67114,0.63933,0.62138,0.39181,1.08281,0.18475,0.0011015,0.0011015,0.0011015
14,272.585,0.09494,0.82081,0.89457,0.50976,0.75809,0.63515,0.59871,0.44897,1.10953,0.21011,0.00108913,0.00108913,0.00108913
15,291.632,0.09544,0.81449,0.89739,0.56461,0.76382,0.6974,0.67823,0.34386,0.98465,0.16342,0.00107675,0.00107675,0.00107675
16,311.23,0.09134,0.81249,0.89331,0.54397,0.7643,0.67289,0.64056,0.40845,1.09175,0.19645,0.00106437,0.00106437,0.00106437
17,330.504,0.08796,0.7989,0.89209,0.49661,0.7677,0.65329,0.62097,0.36429,1.15787,0.16818,0.001052,0.001052,0.001052
18,349.747,0.08704,0.80166,0.89473,0.59767,0.71769,0.6478,0.62567,0.3536,1.28969,0.17668,0.00103962,0.00103962,0.00103962
19,369.014,0.08308,0.7909,0.89065,0.61486,0.7537,0.6924,0.66126,0.41998,1.4591,0.20189,0.00102725,0.00102725,0.00102725
20,388.349,0.08085,0.78654,0.89005,0.61337,0.79181,0.72765,0.70668,0.36748,1.13414,0.17202,0.00101488,0.00101488,0.00101488
21,408.068,0.08094,0.78251,0.88893,0.60335,0.74625,0.69842,0.67441,0.35005,0.97489,0.22295,0.0010025,0.0010025,0.0010025
22,426.727,0.08095,0.77465,0.89067,0.6322,0.70616,0.73479,0.71591,0.29115,0.87476,0.14235,0.000990125,0.000990125,0.000990125
23,445.221,0.08052,0.77435,0.89093,0.63314,0.73913,0.74819,0.70856,0.40872,1.19206,0.20922,0.00097775,0.00097775,0.00097775
24,463.72,0.07616,0.7612,0.89144,0.64917,0.68646,0.70754,0.6841,0.40169,1.0723,0.18952,0.000965375,0.000965375,0.000965375
25,482.202,0.07686,0.76277,0.89221,0.51821,0.81697,0.72835,0.6844,0.4383,1.29357,0.20663,0.000953,0.000953,0.000953
26,500.917,0.07497,0.76036,0.89057,0.65662,0.7857,0.74565,0.72658,0.38969,0.89423,0.18319,0.000940625,0.000940625,0.000940625
27,519.515,0.07339,0.74549,0.88695,0.61014,0.72356,0.71515,0.68208,0.37604,1.16551,0.18065,0.00092825,0.00092825,0.00092825
28,538.014,0.07262,0.74054,0.89113,0.62341,0.767,0.74977,0.71765,0.33518,0.98265,0.16424,0.000915875,0.000915875,0.000915875
29,556.526,0.07261,0.74652,0.88942,0.60181,0.72008,0.69971,0.65822,0.45111,1.26136,0.20873,0.0009035,0.0009035,0.0009035
30,575.011,0.07125,0.74059,0.88915,0.63252,0.724,0.73466,0.69537,0.3868,1.22494,0.28956,0.000891125,0.000891125,0.000891125
31,593.444,0.0668,0.7362,0.89077,0.52771,0.81841,0.74456,0.67726,0.476,1.32439,0.23537,0.00087875,0.00087875,0.00087875
32,611.879,0.06602,0.73471,0.88903,0.6561,0.73301,0.7609,0.67657,0.55167,1.01294,0.26815,0.000866375,0.000866375,0.000866375
33,630.37,0.06665,0.73387,0.8904,0.7628,0.6165,0.74224,0.70021,0.43747,1.21596,0.2207,0.000854,0.000854,0.000854
34,648.89,0.06485,0.72487,0.89072,0.59267,0.75454,0.74281,0.69957,0.45731,1.07859,0.21581,0.000841625,0.000841625,0.000841625
35,667.462,0.06513,0.72556,0.88943,0.67547,0.653,0.7125,0.66245,0.4477,1.09785,0.21098,0.00082925,0.00082925,0.00082925
36,685.92,0.06682,0.72307,0.88658,0.68134,0.74502,0.789,0.76425,0.45728,1.01598,0.20689,0.000816875,0.000816875,0.000816875
37,704.496,0.06784,0.71183,0.88688,0.6298,0.79262,0.76157,0.72213,0.4612,1.1351,0.21885,0.0008045,0.0008045,0.0008045
38,722.963,0.06575,0.71368,0.88921,0.68129,0.74933,0.76081,0.73436,0.21333,0.90373,0.81655,0.000792125,0.000792125,0.000792125
39,741.406,0.06451,0.71143,0.88795,0.65736,0.72102,0.75485,0.75356,0.04542,0.75345,1.0458,0.00077975,0.00077975,0.00077975
40,759.89,0.06288,0.70726,0.89055,0.59289,0.73554,0.72511,0.69118,0.05453,0.72554,1.05024,0.000767375,0.000767375,0.000767375
41,778.35,0.06199,0.69775,0.88763,0.66031,0.75072,0.75303,0.75261,0.03315,0.69294,1.04391,0.000755,0.000755,0.000755
42,796.847,0.05957,0.68384,0.88969,0.68762,0.71313,0.76099,0.76053,0.05481,0.64596,1.04654,0.000742625,0.000742625,0.000742625
43,815.295,0.05839,0.67991,0.88868,0.61622,0.65529,0.71346,0.7134,0.04198,0.80395,1.04344,0.00073025,0.00073025,0.00073025
44,833.777,0.05841,0.68655,0.88716,0.6989,0.72523,0.77635,0.77629,0.04822,0.60668,1.04585,0.000717875,0.000717875,0.000717875
45,852.299,0.05854,0.66795,0.89,0.70932,0.71533,0.77441,0.77418,0.03154,0.6242,1.04357,0.0007055,0.0007055,0.0007055
46,870.751,0.05711,0.67908,0.89123,0.63542,0.78938,0.75955,0.75944,0.03466,0.65344,1.04509,0.000693125,0.000693125,0.000693125
47,889.892,0.05558,0.66126,0.88764,0.70147,0.72293,0.76391,0.7638,0.03562,0.66936,1.04504,0.00068075,0.00068075,0.00068075
48,910.406,inf,0.67144,0.88765,0.6584,0.78536,0.79952,0.79922,0.03241,0.63543,1.04545,0.000668375,0.000668375,0.000668375
49,930.76,0.05604,0.65483,0.88732,0.66408,0.76519,0.78268,0.78253,0.0314,0.57502,1.04455,0.000656,0.000656,0.000656
50,950.63,0.05423,0.64827,0.88685,0.66827,0.77595,0.78063,0.76505,0.04195,0.62295,1.05067,0.000643625,0.000643625,0.000643625
51,970.313,0.05375,0.64462,0.88528,0.65355,0.79323,0.76948,0.76509,0.02875,0.61329,1.044,0.00063125,0.00063125,0.00063125
52,988.797,0.0537,0.63772,0.89011,0.70287,0.72398,0.76553,0.76396,0.04401,0.65878,1.04752,0.000618875,0.000618875,0.000618875
53,1008.79,0.05442,0.64542,0.88797,0.65623,0.78115,0.77213,0.77098,0.02691,0.66499,1.04363,0.0006065,0.0006065,0.0006065
54,1028.73,0.05359,0.62729,0.88515,0.72695,0.73345,0.7918,0.79137,0.03958,0.63165,1.04531,0.000594125,0.000594125,0.000594125
55,1048.74,0.05195,0.62689,0.88805,0.69461,0.77911,0.79162,0.79074,0.02298,0.58966,1.04354,0.00058175,0.00058175,0.00058175
56,1068.95,0.05031,0.63435,0.88489,0.67275,0.7827,0.79306,0.79258,0.03464,0.61139,1.04539,0.000569375,0.000569375,0.000569375
57,1089.03,0.05027,0.62707,0.88988,0.68212,0.7581,0.78705,0.78661,0.03415,0.60347,1.04599,0.000557,0.000557,0.000557
58,1109.27,0.05109,0.60325,0.88654,0.67532,0.77773,0.75888,0.75888,0.02688,0.6171,1.04249,0.000544625,0.000544625,0.000544625
59,1128.99,0.0519,0.61528,0.88584,0.68375,0.77517,0.78974,0.78954,0.03585,0.61598,1.04474,0.00053225,0.00053225,0.00053225
60,1149.11,0.05047,0.61427,0.88441,0.74303,0.77546,0.82872,0.82514,0.03007,0.54416,1.04543,0.000519875,0.000519875,0.000519875
61,1168.65,0.05102,0.60233,0.88643,0.65617,0.73419,0.76121,0.7611,0.0289,0.78398,1.04359,0.0005075,0.0005075,0.0005075
62,1187.11,0.04953,0.6107,0.88575,0.73558,0.74241,0.82138,0.82111,0.02245,0.5693,1.04381,0.000495125,0.000495125,0.000495125
63,1205.49,0.05036,0.58329,0.88353,0.69467,0.76524,0.79336,0.79222,0.04826,0.68264,1.04756,0.00048275,0.00048275,0.00048275
64,1223.89,0.04998,0.59669,0.88564,0.72862,0.73574,0.80308,0.80035,0.03793,0.63411,1.04629,0.000470375,0.000470375,0.000470375
65,1242.28,0.04821,0.58818,0.89064,0.72026,0.78373,0.79646,0.79621,0.02653,0.63477,1.04379,0.000458,0.000458,0.000458
66,1260.63,0.0487,0.58725,0.88449,0.68485,0.79339,0.79766,0.79752,0.03646,0.62329,1.04503,0.000445625,0.000445625,0.000445625
67,1279.01,0.04663,0.57547,0.88536,0.70519,0.76629,0.79461,0.79454,0.02486,0.58615,1.0432,0.00043325,0.00043325,0.00043325
68,1297.38,0.04629,0.56254,0.88829,0.68424,0.80605,0.80821,0.808,0.02853,0.58886,1.04402,0.000420875,0.000420875,0.000420875
69,1315.76,0.0462,0.5591,0.88647,0.73186,0.77031,0.81987,0.81949,0.02909,0.63796,1.046,0.0004085,0.0004085,0.0004085
