epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1334.12,0.04621,0.55365,0.88577,0.67711,0.8004,0.80177,0.80115,0.03044,0.67639,1.04586,0.000396125,0.000396125,0.000396125
71,1352.51,0.0462,0.55899,0.88598,0.67287,0.83995,0.81888,0.81771,0.02821,0.56765,1.04708,0.00038375,0.00038375,0.00038375
72,1370.91,0.04614,0.55044,0.88454,0.74655,0.79838,0.83303,0.83218,0.02365,0.5239,1.044,0.000371375,0.000371375,0.000371375
73,1389.33,0.04442,0.54351,0.88591,0.77041,0.7504,0.82674,0.82667,0.02318,0.55562,1.04333,0.000359,0.000359,0.000359
74,1407.71,0.04459,0.53114,0.88562,0.72278,0.80321,0.82973,0.82963,0.02341,0.56807,1.04356,0.000346625,0.000346625,0.000346625
75,1426.05,0.04334,0.53693,0.88276,0.75865,0.79902,0.83988,0.83977,0.02473,0.55832,1.04323,0.00033425,0.00033425,0.00033425
76,1444.44,0.04192,0.53154,0.88563,0.70075,0.80319,0.81466,0.81446,0.01939,0.62928,1.04321,0.000321875,0.000321875,0.000321875
77,1462.82,0.04321,0.53869,0.88521,0.70985,0.80174,0.81835,0.81828,0.01789,0.56186,1.04215,0.0003095,0.0003095,0.0003095
78,1481.12,0.04234,0.52097,0.88538,0.72852,0.78492,0.81558,0.81555,0.025,0.59743,1.04275,0.000297125,0.000297125,0.000297125
79,1499.49,0.04268,0.53251,0.88535,0.75054,0.77204,0.82458,0.81399,0.16009,0.77271,1.24355,0.00028475,0.00028475,0.00028475
80,1517.79,0.04228,0.51459,0.88101,0.77068,0.73869,0.82597,0.82519,0.02258,0.57236,1.04357,0.000272375,0.000272375,0.000272375
81,1536.13,0.04056,0.518,0.88667,0.69472,0.81604,0.80187,0.80079,0.0267,0.60067,1.04442,0.00026,0.00026,0.00026
82,1554.51,0.04141,0.50572,0.88566,0.7159,0.76455,0.81883,0.81805,0.01991,0.59589,1.04287,0.000247625,0.000247625,0.000247625
83,1572.86,0.04073,0.50398,0.88642,0.68079,0.82934,0.81481,0.81431,0.02015,0.58397,1.04315,0.00023525,0.00023525,0.00023525
84,1591.2,0.03988,0.50276,0.88556,0.74239,0.80052,0.84635,0.84583,0.02328,0.53837,1.04275,0.000222875,0.000222875,0.000222875
85,1609.62,0.03973,0.48724,0.88194,0.7381,0.78768,0.82904,0.82824,0.02476,0.60289,1.04256,0.0002105,0.0002105,0.0002105
86,1627.98,0.03965,0.49332,0.88473,0.70395,0.81473,0.82464,0.82451,0.02177,0.59731,1.04258,0.000198125,0.000198125,0.000198125
87,1646.34,0.03843,0.48684,0.88417,0.70916,0.83058,0.83416,0.83408,0.0195,0.58784,1.0423,0.00018575,0.00018575,0.00018575
88,1664.72,0.03748,0.48273,0.88273,0.72902,0.80981,0.82628,0.82621,0.01853,0.5956,1.04212,0.000173375,0.000173375,0.000173375
89,1683.09,0.03722,0.47613,0.88692,0.75836,0.77031,0.82855,0.82845,0.01678,0.58492,1.04193,0.000161,0.000161,0.000161
90,1701.86,0.03667,0.4743,0.88374,0.7452,0.78793,0.82645,0.82637,0.01625,0.61183,1.04222,0.000148625,0.000148625,0.000148625
91,1720.79,0.03712,0.29545,0.90073,0.75578,0.79572,0.82542,0.82538,0.02301,0.58317,1.04242,0.00013625,0.00013625,0.00013625
92,1739.36,0.03066,0.22411,0.89468,0.73422,0.81971,0.83396,0.83391,0.01943,0.60414,1.0422,0.000123875,0.000123875,0.000123875
93,1757.85,0.02777,0.21316,0.89796,0.80652,0.73325,0.82532,0.82517,0.02324,0.62983,1.04367,0.0001115,0.0001115,0.0001115
94,1776.44,0.0291,0.20333,0.89706,0.78624,0.77535,0.82753,0.82739,0.01826,0.59233,1.04229,9.9125e-05,9.9125e-05,9.9125e-05
95,1795.46,0.0268,0.18708,0.8936,0.77333,0.78183,0.82968,0.82952,0.01629,0.60517,1.0418,8.675e-05,8.675e-05,8.675e-05
96,1814,0.02597,0.19538,0.89643,0.7289,0.82452,0.83812,0.83806,0.01635,0.57845,1.04166,7.4375e-05,7.4375e-05,7.4375e-05
97,1832.13,0.02548,0.18976,0.8994,0.75561,0.77651,0.83377,0.83372,0.01858,0.60636,1.04167,6.2e-05,6.2e-05,6.2e-05
98,1850.29,0.0242,0.16274,0.89581,0.77844,0.75995,0.83259,0.83254,0.01734,0.60924,1.04145,4.9625e-05,4.9625e-05,4.9625e-05
99,1868.46,0.02384,0.16343,0.89767,0.76412,0.7821,0.83872,0.83866,0.01763,0.61068,1.04163,3.725e-05,3.725e-05,3.725e-05
100,1886.63,0.02336,0.15807,0.89701,0.79021,0.76414,0.84012,0.84005,0.0164,0.62627,1.04137,2.4875e-05,2.4875e-05,2.4875e-05
