epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.18063,1.04524,0.70325,1,1.10993,0.000236183,0.000236183,0.000236183
2,15.0713,0.74638,0.7514,1,1.04806,0.000464794,0.000464794,0.000464794
3,21.8438,0.69857,0.77828,1,1.03924,0.000683981,0.000683981,0.000683981
4,28.5716,0.65973,0.79395,1,0.99686,0.000671588,0.000671588,0.000671588
5,35.3127,0.58845,0.79955,1,0.98908,0.000657451,0.000657451,0.000657451
6,42.067,0.54465,0.79731,1,0.97586,0.000643314,0.000643314,0.000643314
7,48.7976,0.50124,0.81747,1,0.96397,0.000629177,0.000629177,0.000629177
8,55.7532,0.4651,0.82419,1,0.94702,0.00061504,0.00061504,0.00061504
9,62.5639,0.44815,0.82643,1,0.94967,0.000600902,0.000600902,0.000600902
10,69.4622,0.41576,0.84882,1,0.92976,0.000586765,0.000586765,0.000586765
11,76.4159,0.37663,0.83427,1,0.92149,0.000572628,0.000572628,0.000572628
12,83.3865,0.34316,0.83875,1,0.91619,0.000558491,0.000558491,0.000558491
13,90.2296,0.34801,0.84546,1,0.91375,0.000544354,0.000544354,0.000544354
14,97.0659,0.29914,0.85666,1,0.89003,0.000530216,0.000530216,0.000530216
15,104.073,0.28625,0.86898,1,0.89076,0.000516079,0.000516079,0.000516079
16,111.167,0.27975,0.8757,1,0.89104,0.000501942,0.000501942,0.000501942
17,118.275,0.24186,0.87234,1,0.88993,0.000487805,0.000487805,0.000487805
18,125.177,0.22615,0.87234,1,0.88006,0.000473668,0.000473668,0.000473668
19,132.005,0.2132,0.8869,1,0.8757,0.00045953,0.00045953,0.00045953
20,138.856,0.21213,0.87682,1,0.87898,0.000445393,0.000445393,0.000445393
21,145.629,0.20692,0.8757,1,0.87772,0.000431256,0.000431256,0.000431256
22,152.391,0.18823,0.88354,1,0.86858,0.000417119,0.000417119,0.000417119
23,159.165,0.16784,0.8869,1,0.87047,0.000402982,0.000402982,0.000402982
24,165.958,0.18091,0.90482,1,0.84741,0.000388844,0.000388844,0.000388844
25,172.753,0.16505,0.89138,1,0.854,0.000374707,0.000374707,0.000374707
26,179.506,0.16201,0.89698,1,0.85352,0.00036057,0.00036057,0.00036057
27,186.259,0.143,0.9037,1,0.84438,0.000346433,0.000346433,0.000346433
28,193.023,0.14283,0.8869,1,0.85993,0.000332296,0.000332296,0.000332296
29,199.758,0.1365,0.89474,1,0.8516,0.000318158,0.000318158,0.000318158
30,206.51,0.12879,0.90817,1,0.84082,0.000304021,0.000304021,0.000304021
31,213.306,0.12585,0.91377,1,0.83779,0.000289884,0.000289884,0.000289884
32,220.224,0.11512,0.90817,1,0.83786,0.000275747,0.000275747,0.000275747
33,226.977,0.12401,0.90482,1,0.84466,0.00026161,0.00026161,0.00026161
34,233.757,0.10618,0.91153,1,0.83643,0.000247472,0.000247472,0.000247472
35,240.857,0.09954,0.91601,1,0.83235,0.000233335,0.000233335,0.000233335
36,248.03,0.09781,0.91601,1,0.83419,0.000219198,0.000219198,0.000219198
37,255.181,0.09481,0.91937,1,0.83259,0.000205061,0.000205061,0.000205061
38,262.248,0.08581,0.92497,1,0.83245,0.000190924,0.000190924,0.000190924
39,269.418,0.0911,0.92049,1,0.82673,0.000176786,0.000176786,0.000176786
40,276.569,0.08159,0.91937,1,0.82914,0.000162649,0.000162649,0.000162649
41,285.939,0.07853,0.92385,1,0.82645,0.000148512,0.000148512,0.000148512
42,293.071,0.0783,0.92497,1,0.82732,0.000134375,0.000134375,0.000134375
43,300.265,0.07756,0.92161,1,0.82663,0.000120238,0.000120238,0.000120238
44,307.395,0.07659,0.92273,1,0.82631,0.0001061,0.0001061,0.0001061
45,314.599,0.07821,0.91713,1,0.82764,9.19632e-05,9.19632e-05,9.19632e-05
46,321.607,0.0657,0.91489,1,0.82711,7.7826e-05,7.7826e-05,7.7826e-05
47,328.36,0.07086,0.91601,1,0.82708,6.36888e-05,6.36888e-05,6.36888e-05
48,335.13,0.05924,0.91489,1,0.82656,4.95516e-05,4.95516e-05,4.95516e-05
49,341.904,0.06098,0.92273,1,0.82425,3.54144e-05,3.54144e-05,3.54144e-05
50,348.649,0.05796,0.91825,1,0.82363,2.12772e-05,2.12772e-05,2.12772e-05
