epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.16264,1.00855,0.71669,1,1.08976,0.000237088,0.000237088,0.000237088
2,16.9507,0.76563,0.76596,1,1.05321,0.000470385,0.000470385,0.000470385
3,24.641,0.71767,0.79171,1,1.01685,0.000698969,0.000698969,0.000698969
4,32.318,0.70813,0.76484,1,1.02581,0.000692794,0.000692794,0.000692794
5,39.9959,0.63677,0.78275,1,1.00499,0.000685726,0.000685726,0.000685726
6,47.6704,0.59512,0.78835,1,0.98361,0.000678657,0.000678657,0.000678657
7,55.3223,0.5626,0.79619,1,0.9789,0.000671588,0.000671588,0.000671588
8,63.0176,0.52249,0.79843,1,0.97552,0.00066452,0.00066452,0.00066452
9,70.6501,0.49716,0.83091,1,0.95101,0.000657451,0.000657451,0.000657451
10,78.2696,0.45389,0.83651,1,0.93912,0.000650383,0.000650383,0.000650383
11,85.8804,0.43495,0.81971,1,0.94474,0.000643314,0.000643314,0.000643314
12,93.4614,0.40871,0.84211,1,0.91898,0.000636245,0.000636245,0.000636245
13,101.065,0.38463,0.85106,1,0.91919,0.000629177,0.000629177,0.000629177
14,108.662,0.38812,0.85442,1,0.91314,0.000622108,0.000622108,0.000622108
15,116.238,0.35362,0.83875,1,0.91591,0.00061504,0.00061504,0.00061504
16,123.789,0.34504,0.86898,1,0.89734,0.000607971,0.000607971,0.000607971
17,131.367,0.30701,0.8477,1,0.91056,0.000600902,0.000600902,0.000600902
18,138.906,0.29756,0.84994,1,0.90503,0.000593834,0.000593834,0.000593834
19,146.429,0.28265,0.8645,1,0.89209,0.000586765,0.000586765,0.000586765
20,153.963,0.2672,0.8589,1,0.89089,0.000579697,0.000579697,0.000579697
21,161.505,0.26481,0.8701,1,0.88513,0.000572628,0.000572628,0.000572628
22,169.07,0.26391,0.86002,1,0.8923,0.000565559,0.000565559,0.000565559
23,176.612,0.25755,0.87458,1,0.87997,0.000558491,0.000558491,0.000558491
24,184.188,0.25818,0.8757,1,0.8762,0.000551422,0.000551422,0.000551422
25,191.759,0.21717,0.87122,1,0.87732,0.000544354,0.000544354,0.000544354
26,199.282,0.20886,0.87122,1,0.87786,0.000537285,0.000537285,0.000537285
27,206.816,0.20842,0.8869,1,0.86712,0.000530216,0.000530216,0.000530216
28,214.39,0.19406,0.89138,1,0.86363,0.000523148,0.000523148,0.000523148
29,221.947,0.1898,0.8813,1,0.86536,0.000516079,0.000516079,0.000516079
30,229.479,0.18828,0.88578,1,0.866,0.000509011,0.000509011,0.000509011
31,237.007,0.17994,0.89138,1,0.8611,0.000501942,0.000501942,0.000501942
32,244.574,0.1842,0.89026,1,0.86433,0.000494873,0.000494873,0.000494873
33,252.134,0.17146,0.87682,1,0.87718,0.000487805,0.000487805,0.000487805
34,259.664,0.15777,0.88578,1,0.86093,0.000480736,0.000480736,0.000480736
35,267.209,0.15443,0.88802,1,0.85972,0.000473668,0.000473668,0.000473668
36,274.753,0.14958,0.90034,1,0.85139,0.000466599,0.000466599,0.000466599
37,282.31,0.14865,0.90258,1,0.85148,0.00045953,0.00045953,0.00045953
38,289.869,0.13307,0.88578,1,0.85327,0.000452462,0.000452462,0.000452462
39,297.394,0.13437,0.89026,1,0.85875,0.000445393,0.000445393,0.000445393
40,304.931,0.13331,0.89586,1,0.85195,0.000438325,0.000438325,0.000438325
41,312.464,0.12085,0.89138,1,0.84949,0.000431256,0.000431256,0.000431256
42,319.993,0.12064,0.90594,1,0.84373,0.000424187,0.000424187,0.000424187
43,327.601,0.13318,0.90146,1,0.84508,0.000417119,0.000417119,0.000417119
44,335.43,0.12228,0.8925,1,0.84851,0.00041005,0.00041005,0.00041005
45,342.602,0.10864,0.90034,1,0.8429,0.000402982,0.000402982,0.000402982
46,349.664,0.10516,0.91041,1,0.83908,0.000395913,0.000395913,0.000395913
47,356.778,0.10994,0.89698,1,0.84985,0.000388844,0.000388844,0.000388844
48,364.198,0.10649,0.90146,1,0.84462,0.000381776,0.000381776,0.000381776
49,372.022,0.11028,0.90034,1,0.85118,0.000374707,0.000374707,0.000374707
50,379.67,0.12207,0.9037,1,0.84242,0.000367639,0.000367639,0.000367639
51,387.229,0.1001,0.91041,1,0.83676,0.00036057,0.00036057,0.00036057
52,394.802,0.10151,0.9037,1,0.84024,0.000353501,0.000353501,0.000353501
53,402.338,0.08735,0.91041,1,0.83587,0.000346433,0.000346433,0.000346433
54,409.89,0.10431,0.91265,1,0.83259,0.000339364,0.000339364,0.000339364
55,417.462,0.09526,0.92273,1,0.82907,0.000332296,0.000332296,0.000332296
56,425.027,0.08874,0.90817,1,0.83275,0.000325227,0.000325227,0.000325227
57,432.562,0.08814,0.91153,1,0.83801,0.000318158,0.000318158,0.000318158
58,440.107,0.09474,0.91265,1,0.83261,0.00031109,0.00031109,0.00031109
59,447.651,0.09036,0.91825,1,0.82891,0.000304021,0.000304021,0.000304021
60,455.193,0.08148,0.91153,1,0.83048,0.000296953,0.000296953,0.000296953
61,462.72,0.09585,0.91377,1,0.82996,0.000289884,0.000289884,0.000289884
62,470.244,0.07705,0.92385,1,0.82242,0.000282815,0.000282815,0.000282815
63,477.809,0.08053,0.91153,1,0.83051,0.000275747,0.000275747,0.000275747
64,485.339,0.0765,0.91489,1,0.83318,0.000268678,0.000268678,0.000268678
65,492.875,0.06489,0.91265,1,0.83175,0.00026161,0.00026161,0.00026161
66,500.409,0.07432,0.91041,1,0.83391,0.000254541,0.000254541,0.000254541
67,507.937,0.07011,0.91377,1,0.82753,0.000247472,0.000247472,0.000247472
68,515.485,0.06712,0.91041,1,0.83552,0.000240404,0.000240404,0.000240404
69,523.013,0.0718,0.92161,1,0.823,0.000233335,0.000233335,0.000233335
70,530.539,0.07271,0.91601,1,0.82743,0.000226267,0.000226267,0.000226267
71,538.084,0.06229,0.91825,1,0.82793,0.000219198,0.000219198,0.000219198
72,545.631,0.05707,0.91825,1,0.8254,0.000212129,0.000212129,0.000212129
73,553.156,0.05699,0.92273,1,0.82551,0.000205061,0.000205061,0.000205061
74,560.691,0.05581,0.91377,1,0.8269,0.000197992,0.000197992,0.000197992
75,568.231,0.06239,0.91041,1,0.83088,0.000190924,0.000190924,0.000190924
76,575.77,0.06666,0.90817,1,0.83112,0.000183855,0.000183855,0.000183855
77,583.297,0.06375,0.91713,1,0.82739,0.000176786,0.000176786,0.000176786
78,590.834,0.05823,0.91601,1,0.82854,0.000169718,0.000169718,0.000169718
79,598.366,0.05172,0.91713,1,0.82884,0.000162649,0.000162649,0.000162649
80,605.904,0.04613,0.92273,1,0.82455,0.000155581,0.000155581,0.000155581
81,613.439,0.05873,0.92161,1,0.82199,0.000148512,0.000148512,0.000148512
82,620.962,0.04995,0.92497,1,0.82009,0.000141443,0.000141443,0.000141443
83,628.53,0.0497,0.91601,1,0.82504,0.000134375,0.000134375,0.000134375
84,636.071,0.05069,0.91601,1,0.82673,0.000127306,0.000127306,0.000127306
85,643.628,0.04252,0.91713,1,0.8235,0.000120238,0.000120238,0.000120238
86,651.154,0.04812,0.91377,1,0.82668,0.000113169,0.000113169,0.000113169
87,658.689,0.0451,0.91489,1,0.82514,0.0001061,0.0001061,0.0001061
88,666.227,0.04677,0.92049,1,0.82202,9.90318e-05,9.90318e-05,9.90318e-05
89,673.763,0.05086,0.92609,1,0.81824,9.19632e-05,9.19632e-05,9.19632e-05
90,681.325,0.0381,0.92497,1,0.81984,8.48946e-05,8.48946e-05,8.48946e-05
91,689.212,0.04761,0.92497,1,0.82003,7.7826e-05,7.7826e-05,7.7826e-05
92,696.785,0.04277,0.92273,1,0.82111,7.07574e-05,7.07574e-05,7.07574e-05
93,704.319,0.0332,0.92161,1,0.82207,6.36888e-05,6.36888e-05,6.36888e-05
94,711.851,0.04565,0.92161,1,0.82467,5.66202e-05,5.66202e-05,5.66202e-05
95,719.391,0.04304,0.91601,1,0.82486,4.95516e-05,4.95516e-05,4.95516e-05
96,726.929,0.04052,0.91265,1,0.82584,4.2483e-05,4.2483e-05,4.2483e-05
97,734.461,0.04302,0.92609,1,0.82181,3.54144e-05,3.54144e-05,3.54144e-05
98,742.035,0.03876,0.92273,1,0.82251,2.83458e-05,2.83458e-05,2.83458e-05
99,749.573,0.03246,0.92385,1,0.82251,2.12772e-05,2.12772e-05,2.12772e-05
100,757.098,0.03361,0.92161,1,0.82164,1.42086e-05,1.42086e-05,1.42086e-05
