epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,513.719,0.06677,0.69715,0.8903,0.6291,0.72365,0.72865,0.71437,0.1017,0.85582,1.08996,0.000742625,0.000742625,0.000742625
43,526.183,0.06693,0.70339,0.89036,0.5658,0.70804,0.7116,0.70469,0.11734,0.90806,1.11751,0.00073025,0.00073025,0.00073025
44,538.369,0.06398,0.70425,0.88794,0.70152,0.72529,0.79459,0.77996,0.14967,0.76933,1.15039,0.000717875,0.000717875,0.000717875
45,550.541,0.0628,0.6904,0.89024,0.623,0.79562,0.75463,0.75279,0.07953,0.85642,1.09521,0.0007055,0.0007055,0.0007055
46,563.389,0.06152,0.69961,0.89139,0.64347,0.76488,0.77028,0.75439,0.19395,0.90723,1.21014,0.000693125,0.000693125,0.000693125
47,575.636,0.06247,0.6826,0.88892,0.65727,0.75625,0.7519,0.75131,0.0844,0.78777,1.07598,0.00068075,0.00068075,0.00068075
48,587.888,inf,0.68998,0.88844,0.64572,0.74744,0.74851,0.74777,0.07996,0.79298,1.08355,0.000668375,0.000668375,0.000668375
49,600.42,0.06187,0.68621,0.88829,0.72808,0.69106,0.76557,0.76435,0.06459,0.70678,1.08661,0.000656,0.000656,0.000656
50,612.967,0.05894,0.68172,0.88701,0.69447,0.70299,0.77502,0.75836,0.15918,0.79194,1.18483,0.000643625,0.000643625,0.000643625
51,624.995,0.05887,0.67185,0.88615,0.65665,0.76836,0.76829,0.7666,0.09307,0.67165,1.09457,0.00063125,0.00063125,0.00063125
52,637.442,0.06087,0.66883,0.89164,0.67691,0.73285,0.74966,0.73721,0.1313,0.82741,1.1354,0.000618875,0.000618875,0.000618875
53,650.079,0.05842,0.67007,0.88832,0.67457,0.76797,0.7766,0.77491,0.088,0.75412,1.07915,0.0006065,0.0006065,0.0006065
54,662.781,0.0592,0.65745,0.88582,0.72284,0.71642,0.76022,0.74808,0.1473,0.83082,1.1439,0.000594125,0.000594125,0.000594125
55,675.448,0.05751,0.65389,0.88898,0.61226,0.78318,0.73872,0.73087,0.12915,1.05183,1.12959,0.00058175,0.00058175,0.00058175
56,687.962,0.05685,0.66326,0.88569,0.59642,0.76516,0.7217,0.71129,0.13434,0.9394,1.132,0.000569375,0.000569375,0.000569375
57,700.331,0.05631,0.66055,0.89109,0.69004,0.73369,0.77969,0.76782,0.18309,0.82343,1.20214,0.000557,0.000557,0.000557
58,713.056,0.05568,0.63463,0.88751,0.63374,0.80386,0.73969,0.7308,0.1519,0.92597,1.16116,0.000544625,0.000544625,0.000544625
59,725.544,0.05662,0.65308,0.88669,0.66231,0.75392,0.77254,0.76911,0.10451,0.74594,1.12443,0.00053225,0.00053225,0.00053225
60,737.634,0.05402,0.64056,0.88507,0.6918,0.73585,0.77539,0.7698,0.12486,0.8482,1.12718,0.000519875,0.000519875,0.000519875
61,750.102,0.05397,0.63292,0.88701,0.72347,0.69589,0.72739,0.71541,0.15427,1.08105,1.18784,0.0005075,0.0005075,0.0005075
62,762.177,0.05424,0.64203,0.8867,0.69639,0.76145,0.75166,0.74858,0.10179,0.87817,1.11254,0.000495125,0.000495125,0.000495125
63,774.331,0.05349,0.62858,0.88444,0.65429,0.75836,0.78244,0.77258,0.15225,0.79259,1.17898,0.00048275,0.00048275,0.00048275
64,786.532,0.05326,0.62743,0.88647,0.63023,0.77968,0.74644,0.74037,0.13937,0.86093,1.16406,0.000470375,0.000470375,0.000470375
65,799.054,0.05105,0.62377,0.89068,0.70087,0.73859,0.77527,0.77333,0.11608,0.79717,1.15649,0.000458,0.000458,0.000458
66,811.219,0.05189,0.61615,0.88494,0.70193,0.6848,0.73369,0.72553,0.14412,0.84842,1.20019,0.000445625,0.000445625,0.000445625
67,823.423,0.04978,0.61729,0.88591,0.67189,0.78676,0.76876,0.76436,0.11565,0.7373,1.12942,0.00043325,0.00043325,0.00043325
68,835.754,0.04999,0.59643,0.88876,0.66197,0.79946,0.78575,0.78183,0.12922,0.7142,1.1666,0.000420875,0.000420875,0.000420875
69,848.237,0.04931,0.60295,0.88698,0.6818,0.74853,0.78934,0.77743,0.16055,0.81716,1.22274,0.0004085,0.0004085,0.0004085
70,860.528,0.0504,0.58872,0.88629,0.71755,0.71831,0.79628,0.78674,0.17686,0.77952,1.21458,0.000396125,0.000396125,0.000396125
71,873.423,inf,0.59244,0.88666,0.74331,0.71365,0.8065,0.802,0.16139,0.76189,1.20489,0.00038375,0.00038375,0.00038375
72,886.072,0.05093,0.60239,0.88542,0.69996,0.72815,0.78322,0.78195,0.0995,0.7267,1.11252,0.000371375,0.000371375,0.000371375
73,898.546,0.0485,0.59391,0.88655,0.68354,0.76929,0.78805,0.78391,0.12945,0.73012,1.13459,0.000359,0.000359,0.000359
74,910.634,0.04939,0.58143,0.88569,0.72579,0.70926,0.78287,0.78268,0.09956,0.70827,1.09739,0.000346625,0.000346625,0.000346625
75,922.835,0.04818,0.57962,0.88331,0.71151,0.76135,0.79906,0.79569,0.05471,0.69459,1.06983,0.00033425,0.00033425,0.00033425
76,935.375,0.04698,0.58005,0.88636,0.65967,0.72305,0.7657,0.75184,0.05469,0.78716,1.07034,0.000321875,0.000321875,0.000321875
77,948.316,0.04644,0.57545,0.88553,0.72091,0.71715,0.78511,0.78346,0.04028,0.72508,1.05586,0.0003095,0.0003095,0.0003095
78,960.497,0.04588,0.5647,0.88583,0.74973,0.68853,0.77369,0.77303,0.11318,0.78877,1.14087,0.000297125,0.000297125,0.000297125
79,972.58,0.0464,0.57398,0.88666,0.7176,0.76162,0.8081,0.80722,0.13169,0.71498,1.15874,0.00028475,0.00028475,0.00028475
80,985.129,0.0454,0.56306,0.88149,0.76028,0.70754,0.80037,0.79903,0.09792,0.76425,1.12594,0.000272375,0.000272375,0.000272375
81,997.975,0.04609,0.5732,0.88724,0.75065,0.74433,0.79327,0.79274,0.09125,0.72052,1.11365,0.00026,0.00026,0.00026
82,1010.79,0.04577,0.55726,0.88611,0.70282,0.75438,0.78878,0.78845,0.08884,0.73337,1.1159,0.000247625,0.000247625,0.000247625
83,1023.1,0.04551,0.56163,0.88713,0.70756,0.77746,0.78776,0.78704,0.11978,0.74554,1.14171,0.00023525,0.00023525,0.00023525
84,1036.12,0.04427,0.55518,0.88639,0.71944,0.75487,0.79332,0.7924,0.12878,0.72775,1.15257,0.000222875,0.000222875,0.000222875
85,1048.85,0.04364,0.54554,0.88262,0.69843,0.78769,0.80566,0.80386,0.1071,0.74849,1.13377,0.0002105,0.0002105,0.0002105
86,1061.74,0.04289,0.54418,0.88511,0.69403,0.77356,0.78814,0.78676,0.0891,0.74425,1.11055,0.000198125,0.000198125,0.000198125
87,1074.51,0.04207,0.54723,0.88555,0.67276,0.77454,0.77979,0.7784,0.07603,0.74508,1.10446,0.00018575,0.00018575,0.00018575
88,1087.3,0.04104,0.53913,0.88328,0.72944,0.72709,0.78314,0.78113,0.10557,0.74332,1.13781,0.000173375,0.000173375,0.000173375
89,1100.53,0.04184,0.52707,0.88798,0.72318,0.76256,0.78985,0.78568,0.11835,0.75668,1.17292,0.000161,0.000161,0.000161
90,1113.52,0.04107,0.53517,0.88464,0.74033,0.74759,0.79553,0.78831,0.15373,0.80736,1.22124,0.000148625,0.000148625,0.000148625
91,1126.58,0.04442,0.41261,0.90606,0.76838,0.71516,0.78505,0.77929,0.14048,0.846,1.22586,0.00013625,0.00013625,0.00013625
92,1139.14,0.03378,0.29667,0.89645,0.7395,0.72371,0.7908,0.78708,0.13241,0.78821,1.21508,0.000123875,0.000123875,0.000123875
93,1151.68,0.03073,0.28437,0.8998,0.75936,0.72724,0.7958,0.79091,0.13807,0.80087,1.23059,0.0001115,0.0001115,0.0001115
94,1164.21,0.03113,0.29077,0.8992,0.73328,0.75378,0.80405,0.7982,0.14741,0.8052,1.24483,9.9125e-05,9.9125e-05,9.9125e-05
95,1176.42,0.0285,0.27037,0.89394,0.72682,0.76843,0.80248,0.79495,0.16194,0.8231,1.26634,8.675e-05,8.675e-05,8.675e-05
96,1188.76,0.02892,0.27049,0.89828,0.74228,0.78142,0.80963,0.80186,0.19255,0.89899,1.31149,7.4375e-05,7.4375e-05,7.4375e-05
97,1201.11,0.02793,0.27712,0.90037,0.73526,0.76119,0.80675,0.79737,0.21946,0.91979,1.34969,6.2e-05,6.2e-05,6.2e-05
98,1213.27,0.02728,0.24803,0.89718,0.77315,0.73247,0.7966,0.78754,0.22167,0.93937,1.34828,4.9625e-05,4.9625e-05,4.9625e-05
99,1225.62,0.02665,0.24519,0.89856,0.73967,0.74464,0.80365,0.79462,0.20011,0.89918,1.3184,3.725e-05,3.725e-05,3.725e-05
100,1238.07,0.02572,0.23314,0.89802,0.77328,0.73188,0.79833,0.79008,0.18397,0.88734,1.29538,2.4875e-05,2.4875e-05,2.4875e-05
