epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9566,0.29511,1.99956,0.99151,0.38417,0.8987,0.55013,0.54312,0.22806,1.2598,0.11854,0.000413486,0.000413486,0.000413486
2,21.992,0.18031,1.10679,0.91958,0.41634,0.82211,0.53952,0.52219,0.26336,1.38962,0.13098,0.000813716,0.000813716,0.000813716
3,31.8697,0.16133,1.01933,0.90511,0.48777,0.78776,0.5653,0.55742,0.20745,1.00448,0.10341,0.00119745,0.00119745,0.00119745
4,41.8303,0.15868,0.99201,0.9072,0.31326,0.71516,0.41312,0.38751,0.27801,1.672,0.13437,0.00117575,0.00117575,0.00117575
5,51.6423,0.14268,0.94552,0.90455,0.44542,0.80447,0.57836,0.52091,0.55413,1.33335,0.27262,0.001151,0.001151,0.001151
6,61.4188,0.1302,0.91839,0.90184,0.44569,0.82457,0.59563,0.58999,0.28996,1.00928,0.13597,0.00112625,0.00112625,0.00112625
7,71.063,0.12496,0.90817,0.90306,0.74415,0.41462,0.52238,0.52145,0.20418,1.74961,0.17388,0.0011015,0.0011015,0.0011015
8,80.741,0.11759,0.8771,0.89886,0.52694,0.69251,0.64813,0.6194,0.20398,0.94331,0.25553,0.00107675,0.00107675,0.00107675
9,90.4844,0.11449,0.86159,0.89642,0.60393,0.50847,0.51451,0.50839,0.18903,1.60423,0.25389,0.001052,0.001052,0.001052
10,100.088,0.10724,0.84507,0.89444,0.61568,0.68944,0.64447,0.64201,0.22313,1.27934,0.21549,0.00102725,0.00102725,0.00102725
11,109.836,0.10168,0.82134,0.89499,0.42941,0.6922,0.53238,0.49657,0.31189,1.09051,0.32274,0.0010025,0.0010025,0.0010025
12,119.483,0.10152,0.83162,0.89504,0.45426,0.76296,0.64197,0.63934,0.22891,1.15013,0.27857,0.00097775,0.00097775,0.00097775
13,129.115,0.09533,0.81584,0.89447,0.4183,0.56416,0.48152,0.47522,0.26547,1.73477,0.13662,0.000953,0.000953,0.000953
